disease_id	disease_name	source_id	maxo_id	maxo_name	hpo_id	relation	evidence	extension_id	extension_name	comment	other	author	last_updated	created
MONDO:0011382	sickle cell anemia	PMID:28159390	MAXO:0001001	gene therapy	HP:0000118	treats	PCS					0000-0002-0736-9199		2024-07-22
MONDO:0011382	sickle cell anemia	PMID:28257476	MAXO:0001225	iron chelator agent therapy	HP:6000663	prevents	PCS					0000-0002-0736-9199		2024-07-22
MONDO:0011382	sickle cell anemia	PMID:30095751	MAXO:0000802	avoid excessive exercise	HP:0030058	contraindicated	PCS					0000-0002-0736-9199		2024-07-22
MONDO:0011382	sickle cell anemia	PMID:30893088	MAXO:0000457	pain management	HP:0000118	treats	PCS					0000-0002-0736-9199		2024-07-22
MONDO:0011382	sickle cell anemia	PMID:30951023	MAXO:0000756	blood transfusion	HP:0100749	prevents	PCS					0000-0002-0736-9199		2024-07-22
MONDO:0011382	sickle cell anemia	PMID:30616959	MAXO:0000756	blood transfusion	HP:0000118	treats	PCS					0000-0002-0736-9199		2024-07-22
MONDO:0011382	sickle cell anemia	PMID:28500860	MAXO:0000756	blood transfusion	HP:0025722	prevents	PCS					0000-0002-0736-9199		2024-07-22
MONDO:0011382	sickle cell anemia	PMID:28870775	MAXO:0000747	hematopoietic stem cell transplantation	HP:0000118	treats	PCS					0000-0002-0736-9199		2024-07-22
MONDO:0011382	sickle cell anemia	PMID:30324698	MAXO:0000756	blood transfusion	HP:0001297	prevents	PCS					0000-0002-0736-9199		2024-07-22
MONDO:0011382	sickle cell anemia	PMID:29313508	MAXO:0000756	blood transfusion	HP:0001297	prevents	PCS					0000-0002-0736-9199		2024-07-22
MONDO:0011382	sickle cell anemia	PMID:28094851	MAXO:0000756	blood transfusion	HP:0001297	unknown	PCS					0000-0002-0736-9199		2024-07-22
MONDO:0011382	sickle cell anemia	PMID:28249145	MAXO:0001001	gene therapy	HP:0000118	treats	PCS					0000-0002-0736-9199		2024-07-22
MONDO:0011382	sickle cell anemia	PMID:28544309	MAXO:0001223	chelator agent therapy	HP:0000118	treats	PCS					0000-0002-0736-9199		2024-07-22
MONDO:0011382	sickle cell anemia	PMID:28295188	MAXO:0001223	chelator agent therapy	HP:0000118	treats	PCS					0000-0002-0736-9199		2024-07-22
MONDO:0011382	sickle cell anemia	PMID:28877587	MAXO:0001001	gene therapy	HP:0000118	treats	PCS					0000-0002-0736-9199		2024-07-22
MONDO:0011382	sickle cell anemia	PMID:29668544	MAXO:0000756	blood transfusion	HP:0001297	prevents	PCS					0000-0002-0736-9199		2024-07-22
MONDO:0011382	sickle cell anemia	PMID:32507420	MAXO:0000457	pain management	HP:0000118	treats	PCS					0000-0002-0736-9199		2024-07-22
MONDO:0011382	sickle cell anemia	PMID:32892842	MAXO:0001001	gene therapy	HP:0000118	treats	PCS					0000-0002-0736-9199		2024-07-22
MONDO:0011382	sickle cell anemia	PMID:28612714	MAXO:0001001	gene therapy	HP:0000118	treats	PCS					0000-0002-0736-9199		2024-07-22
MONDO:0011382	sickle cell anemia	PMID:28541013	MAXO:0001001	gene therapy	HP:0000118	treats	PCS					0000-0002-0736-9199		2024-07-22
